name,stocklong
Horse Mackerel West Africa,Horse mackerel West Africa
Cunene Horse Mackerel West Africa,Cunene horse mackerel West Africa
Bight redfish Southeast Australia,Bight redfish Southeast Australia
Blue Grenadier Southeast Australia,Blue grenadier New South Wales to Western Australia
Blue Warehou Eastern half of Southeast Australia,Blue warehou Eastern half of Southeast Australia
Blue Warehou Western half of Southeast Australia,Blue warehou Western half of Southeast Australia
common gemfish Southeast Australia,Common gemfish Southeast Australia
Deepwater flathead Southeast Australia,Deepwater flathead Southeast Australia
Jackass morwong Southeast Australia,Jackass morwong Eastern half of Southeast Australia
Jackass morwong Southeast Australia,Jackass morwong Western half of Southeast Australia
School whiting Southeast Australia,School whiting Southeast Australia
Silverfish Southeast Australia,Silverfish Southeast Australia
Tiger flathead Southeast Australia,Tiger flathead Southeast Australia
Brown tiger shrimp Northern Australia,Brown tiger shrimp Northern Australia
Grooved tiger prawn Northern Australia,Grooved tiger prawn Northern Australia
Ling Southeast Australia,Ling Southeast Australia
Ling Western half of Southeast Australia,Ling Western half of Southeast Australia
Orange roughy Southeast Australia,Orange roughy Southeast Australia
Redfish Eastern Australia,Redfish Eastern Australia
Atlantic cod NAFO 2J3KL,Atlantic cod Southern Labrador-Eastern Newfoundland
Bocaccio British Columbia Waters,Bocaccio British Columbia Waters
Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands,Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands
Haddock NAFO-4X5Y,"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine"
Pacific cod Hecate Strait,Pacific cod Hecate Strait
Pacific cod West Coast of Vancouver Island,Pacific cod West Coast of Vancouver Island
Pacific ocean perch Haida Gwaii,Pacific ocean perch Haida Gwaii
Pacific Ocean perch West Coast of Vancouver Island,Pacific ocean perch West Coast of Vancouver Island
Redfish species NAFO 3LN,Redfish species N and SW Grand Banks
Rock sole Hecate Strait,Rock sole Hecate Strait
Rock sole Queen Charlotte Sound,Rock sole Queen Charlotte Sound
Sablefish Pacific Coast of Canada,Sablefish Pacific Coast of Canada
Witch flounder Gulf of St. Lawrence,Witch flounder Gulf of St. Lawrence
Yellowtail Flounder NAFO 3LNO,Yellowtail flounder Grand Banks
Atlantic halibut Scotian Shelf and Southern Grand Banks,Atlantic halibut Scotian Shelf and Southern Grand Banks
Atlantic cod St. Pierre Bank,Atlantic cod St. Pierre Bank
"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine"
Atlantic cod NAFO 5Zjm,Atlantic cod NAFO 5Zjm
Cusk Western Scotian Shelf,Cusk Western Scotian Shelf
Lingcod Strait of Georgia,Lingcod Strait of Georgia
Porbeagle shark Canadian Atlantic Ocean,Porbeagle shark Canadian Atlantic Ocean
Sea scallop Georges Bank,Sea scallop Georges Bank
USEC spiny dogfish,Spiny dogfish Atlantic Coast
Silver hake Scotian Shelf and Bay of Fundy,Silver hake Scotian Shelf and Bay of Fundy
Chub mackerel Pacific Coast of Japan,Chub mackerel Pacific Coast of Japan
Chub mackerel Tsushima Strait,Chub mackerel Tsushima Strait
Japanese jack mackerel Pacific Coast of Japan,Japanese jack mackerel Pacific Coast of Japan
Japanese jack mackerel Tsushima Strait,Japanese jack mackerel Tsushima Strait
Japanese pufferfish Ise and Mikawa Bay,Japanese pufferfish Ise and Mikawa Bay
Japanese sardine Pacific Coast of Japan,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea
Japanese sardine Tsushima Strait,Japanese sardine Tsushima Strait
Japanese Spanish mackerel Inland Sea of Japan,Japanese Spanish mackerel Inland Sea of Japan
Pacific saury Northwest Pacific,Pacific saury Northwest Pacific
Snow crab North Pacific,Snow crab North Pacific
Snow crab Sea of Japan East,Snow crab Sea of Japan East
Snow crab Sea of Japan West,Snow crab Sea of Japan West
Spotted mackerel Pacific Coast of Japan,Spotted mackerel Pacific Coast of Japan
Walleye pollock Pacific Coast of Japan,Walleye pollock Pacific Coast of Japan
Walleye pollock Sea of Japan North,Walleye pollock Sea of Japan North
Willowy flounder North Pacific,Willowy flounder North Pacific
Japanese amberjack Japan,Japanese amberjack Japan
Japanese anchovy Inland Sea of Japan,Japanese anchovy Inland Sea of Japan
Japanese anchovy Pacific Coast of Japan,Japanese anchovy Pacific Coast of Japan
Japanese anchovy Tsushima Strait,Japanese anchovy Tsushima Strait
Japanese flounder East China Sea,Japanese flounder East China Sea
Japanese flounder Inland Sea of Japan,Japanese flounder Inland Sea of Japan
Japanese flounder Pacific Ocean,Japanese flounder Pacific Ocean
Japanese flounder Sea of Japan North,Japanese flounder Sea of Japan North
Japanese flying squid Japan Autumn recruitment,Japanese flying squid Japan Autumn recruitment
Japanese flying squid Japan Winter recruitment,Japanese flying squid Japan Winter recruitment
Japanese sardine Pacific Coast of Japan,Japanese sardine Pacific Coast of Japan
Kichiji rockfish North Pacific,Kichiji rockfish North Pacific
Pacific cod North Pacific,Pacific cod North Pacific
Pointhead flounder Sea of Japan,Pointhead flounder Sea of Japan
Round herring Tsushima Strait,Round herring Tsushima Strait
Round nose flounder Sea of Japan,Round nose flounder Sea of Japan
Sailfin sandfish Sea of Japan West,Sailfin sandfish Sea of Japan West
Black Oreo Pukaki Rise,Black oreo Pukaki Rise
Black oreo West end of Chatham Rise,Black oreo West end of Chatham Rise
Bluenose New Zealand,Bluenose New Zealand
common gemfish New Zealand,Common gemfish New Zealand
Giant stargazer NZ Area STA7,Giant stargazer NZ Area STA7
Hoki Eastern New Zealand,Hoki Eastern New Zealand
Hoki Western New Zealand,Hoki Western New Zealand
New Zealand ling New Zealand Area LIN 6b,Ling New Zealand Areas LIN 6b
New Zealand ling New Zealand Area LIN 72,Ling New Zealand Areas LIN 72
New Zealand ling New Zealand Area LIN 7WC - WCSI,Ling New Zealand Areas LIN 7WC-WCSI
New Zealand ling New Zealand Areas LIN 3 and 4,Ling New Zealand Areas LIN 3 and 4
New Zealand ling New Zealand Areas LIN 5 and 6,Ling New Zealand Areas LIN 5 and 6
New Zealand snapper New Zealand Area 8,New Zealand snapper New Zealand Area 8 (Auckland and Central West)
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf
Orange roughy New Zealand Mid East Coast,Orange roughy East and South Chatham Rise
Orange roughy New Zealand Mid East Coast,Orange roughy New Zealand Mid East Coast
Orange roughy Northwest Chatham Rise,Orange roughy New Zealand Challenger Plateau
Orange roughy Northwest Chatham Rise,Orange roughy Northwest Chatham Rise
Paua New Zealand Area PAU 5B (Stewart Island),Paua New Zealand Area PAU 5B (Stewart Island)
Paua New Zealand Area PAU 5D (Otago),Paua New Zealand Area PAU 5D (Otago)
Paua New Zealand Area PAU 7 (Marlborough),Paua New Zealand Area PAU 7 (Marlborough)
Paua NZ Area North PAUA 5A,Paua NZ Area North PAUA 5A
Paua NZ Area South PAUA 5A,Paua NZ Area South PAUA 5A
Smooth Oreo Bounty Plateau,Smooth oreo Bounty Plateau
Smooth oreo Chatham Rise,Smooth oreo Chatham Rise
Smooth Oreo East Pukaki Rise,Smooth oreo East Pukaki Rise
Smooth Oreo Southland,Smooth oreo Southland
Smooth oreo West end of Chatham Rise,Smooth oreo West end of Chatham Rise
Southern blue whiting Campbell Island Rise,Southern blue whiting Campbell Island Rise
Southern hake Chatham Rise,Southern hake Chatham Rise
Southern hake Sub-Antarctic,Southern hake Sub-Antarctic
Tarakihi New Zealand,Tarakihi Sub-Antarctic
Trevally New Zealand Areas TRE 7,Trevally New Zealand Areas TRE 7
Black cardinalfish East coast of North Island,Black cardinalfish East coast of North Island
Dredge oyster Foveax Strait,Dredge oyster Foveax Strait
New Zealand snapper New Zealand SNA 1 east Northland,New Zealand snapper New Zealand SNA 1 east Northland
New Zealand snapper New Zealand SNA 7,New Zealand snapper New Zealand SNA 7
Scampi Bay of Plenty,Scampi Bay of Plenty
Scampi Mernoo Bank,Scampi Mernoo Bank
Scampi Wairarapa/Hawke Bay,Scampi Wairarapa/Hawke Bay
Southern hake West Coast South Island,Southern hake West Coast South Island
Argentine anchoita Northern Argentina,Argentine anchoita Northern Argentina
Alfonsino Chile,Alfonsino Chile
Argentine anchoita Southern Argentina,Argentine anchoita Southern Argentina
Argentine chub mackerel Southern Argentina,Argentine chub mackerel Southern Argentina
Argentine hake Northern Argentina,Argentine hake Northern Argentina
Argentine hake Southern Argentina,Argentine hake Southern Argentina
Chilean sardine Central-Southern Chile,Chilean sardine Central-Southern Chile
Nylon shrimp Central-Southern Chile,Nylon shrimp Central-Southern Chile
Nylon shrimp Northern Chile,Nylon shrimp Northern Chile
Orange roughy Chile,Orange roughy Chile
Patagonian grenadier Central-Southern Chile,Patagonian grenadier Central-Southern Chile
Patagonian grenadier Southern Argentina,Patagonian grenadier Southern Argentina
Patagonian toothfish South Chile Argentina,Patagonian toothfish South Chile Argentina
Peruvian Anchoveta Central Chile,Peruvian anchoveta Central Chile
Peruvian Anchoveta Central-Southern Chile,Peruvian anchoveta Central-Southern Chile
Peruvian anchoveta North-Central Peruvian coast,Peruvian anchoveta North-Central Peruvian coast
Peruvian Anchoveta Northern Chile Southern Peru,Peruvian anchoveta Northern Chile Southern Peru
Pink cusk eel Central-Southern Chile,Pink cusk eel Central-Southern Chile
Pink cusk eel Southern Argentina,Pink cusk eel Southern Argentina
Pink cusk eel Southern Chile,Pink cusk eel Southern Chile
Red squat lobster Central-Southern Chile,Red squat lobster Central-Southern Chile
Red squat lobster Northern Chile,Red squat lobster Northern Chile
South Pacific hake Central-Southern Chile,South Pacific hake Central-Southern Chile
Southern blue whiting Central-Southern Chile,Southern blue whiting Central-Southern Chile
Southern blue whiting Southern Argentina,Southern blue whiting Southern Argentina
Southern hake Chile,Southern hake Central-Southern Chile
Southern sardine Central-Southern Chile,Southern sardine Central-Southern Chile
Yellow squat lobster Central-Southern Chile,Yellow squat lobster Central-Southern Chile
Yellow squat lobster Northern Chile,Yellow squat lobster Northern Chile
Yellownose skate Central-Southern Chile,Yellownose skate Central-Southern Chile
Yellownose skate Southern Chile,Yellownose skate Southern Chile
Shallow-water cape hake South Africa,Shallow water cape hake South Africa
Cape Hope squid South Africa,Cape Hope squid South Africa
Cape horse mackerel South Africa South coast,Cape horse mackerel South Africa South coast
Deep-water cape hake South Africa,Deep water cape hake South Africa
Patagonian toothfish South Africa Subantarctic Prince Edward Islands,Patagonian toothfish South Africa Subantarctic Prince Edward Islands
Abalone South Africa,South African abalone South Africa
Southern spiny lobster South Africa South coast,Southern spiny lobster South Africa South coast
BSAI Alaska plaice,Alaska plaice Bering Sea and Aleutian Islands
BSAI arrowtooth flounder,Arrowtooth flounder Bering Sea and Aleutian Islands
GOA arrowtooth flounder,Arrowtooth flounder Gulf of Alaska
BSAI atka mackerel,Atka mackerel Bering Sea and Aleutian Islands
St-Matthews blue king crab,Blue king crab Saint Matthews Island
GOA dover sole,Dover sole Gulf of Alaska
GOA dusky rockfish,Dusky rockfish Gulf of Alaska
BSAI flathead sole,Flathead sole Bering Sea and Aleutian Islands
GOA flathead sole,Flathead sole Gulf of Alaska
BSAI Greenland halibut,Greenland halibut Bering Sea and Aleutian Islands
BSAI northern rock sole,Northern rock sole Eastern Bering Sea and Aleutian Islands
BSAI northern rockfish,Northern rockfish Bering Sea and Aleutian Islands
GOA northern rockfish,Northern rockfish Gulf of Alaska
BSAI Pacific cod,Pacific cod Bering Sea
GOA Pacific cod,Pacific cod Gulf of Alaska
Pacific halibut (coastwide),Pacific halibut North Pacific
BSAI Pacific ocean perch,Pacific ocean perch Eastern Bering Sea and Aleutian Islands
GOA Pacific ocean perch,Pacific ocean perch Gulf of Alaska
Bristol Bay red king crab,Red king crab Bristol Bay
Norton Sound red king crab,Red king crab Norton Sound
GOA rex sole,Rex sole Gulf of Alaska
BSAI rougheye rockfish,Rougheye rockfish Bering Sea and Aleutian Islands
GOA rougheye rockfish,Rougheye rockfish Gulf of Alaska
Alaska sablefish,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska
EBS snow crab,Snow crab Bering Sea
EBS tanner crab,Tanner crab Bering Sea and Aleutian Islands
AI walleye pollock,Walleye pollock Aleutian Islands
EBS walleye pollock,Walleye pollock Eastern Bering Sea
GOA walleye pollock,Walleye pollock Gulf of Alaska
BSAI yellowfin sole,Yellowfin sole Bering Sea and Aleutian Islands
blacknose shark Atlantic,Blacknose shark Atlantic
Brown shrimp Gulf of Mexico,Brown shrimp Gulf of Mexico
Finetooth shark Atlantic,Finetooth shark Atlantic
Pink shrimp Gulf of Mexico,Pink shrimp Gulf of Mexico
Red grouper Gulf of Mexico,Red grouper Gulf of Mexico
Spanish mackerel Southern Atlantic Coast,Spanish mackerel Southern Atlantic coast
White shrimp Gulf of Mexico,White shrimp Gulf of Mexico
Yellowedge grouper Gulf of Mexico,Yellowedge grouper Gulf of Mexico
Yellowtail Snapper Southern Atlantic Coast and Gulf of Mexico,Yellowtail snapper Southern Atlantic coast and Gulf of Mexico
Acadian redfish Gulf of Maine / Georges Bank,Acadian redfish Gulf of Maine / Georges Bank
american plaice nafo-5yz,american plaice nafo-5yz
Atlantic cod Georges Bank,Atlantic cod Georges Bank
